Time(Sec),P(W/cm2)
759,0.4408999
760,0.4405032
761,0.4405429
762,0.4404635
763,0.4404635
764,0.4404635
765,0.4405032
766,0.4404635
767,0.4405429
768,0.4405826
769,0.4405826
770,0.4402652
771,0.4402652
772,0.4402652
773,0.4402255
774,0.4402255
775,0.4402255
776,0.4402255
777,0.4402652
778,0.4402652
779,0.4402652
780,0.4409397
781,0.4409397
782,0.4408999
783,0.4409397
784,0.4408999
785,0.4408603
786,0.4408603
787,0.4408206
788,0.4408206
789,0.4408206
790,0.4408206
791,0.4407809
792,0.4407809
793,0.4407809
794,0.4407809
795,0.4407809
796,0.4407809
797,0.4407809
798,0.4407809
799,0.4408206
800,0.4407809
801,0.4407809
802,0.4408206
803,0.4408603
804,0.4408603
805,0.4408603
806,0.4408603
807,0.4408999
808,0.4408999
809,0.4409397
810,0.4408999
811,0.4409397
812,0.4408999
813,0.4408999
814,0.4408999
815,0.4408999
816,0.4408999
817,0.4408999
818,0.4408603
819,0.4408603
820,0.4408603
821,0.4408206
822,0.4408603
823,0.4408206
824,0.4408206
825,0.4408206
826,0.4408603
827,0.4408603
828,0.4408603
829,0.4408603
830,0.4408206
831,0.4408206
832,0.4408206
833,0.4408206
834,0.4408206
835,0.4408206
836,0.4408206
837,0.4408206
838,0.4408206
839,0.4408206
840,0.4408206
841,0.4408206
842,0.4407809
843,0.4407412
844,0.4407412
845,0.4407809
846,0.4407809
847,0.4407412
848,0.4407412
849,0.4407809
850,0.4400668
851,0.4400668
852,0.4400271
853,0.4398684
854,0.4398287
855,0.4398287
856,0.4398287
857,0.4398287
858,0.4397891
859,0.4397891
860,0.4402651
861,0.4402651
862,0.4403048
863,0.4402651
864,0.4402255
865,0.4405429
866,0.4405429
867,0.4405429
868,0.4405826
869,0.4405826
870,0.4407412
871,0.440781
872,0.440781
873,0.440781
874,0.4408206
875,0.4408206
876,0.4408603
877,0.4408603
878,0.4408603
879,0.4406222
880,0.4403445
881,0.4403445
882,0.4403445
883,0.4403445
884,0.4403841
885,0.4403841
886,0.4406619
887,0.4406619
888,0.4406619
889,0.4406619
890,0.4409793
891,0.4409793
892,0.4409793
893,0.4409793
894,0.4409397
895,0.4409397
896,0.4408603
897,0.4408603
898,0.4408999
899,0.4408206
900,0.4408206
901,0.4408206
902,0.4403841
903,0.4395906
904,0.4387575
905,0.4378449
906,0.4368531
907,0.4355834
908,0.4342742
909,0.4330839
910,0.4309018
911,0.4293544
912,0.4277674
913,0.426101
914,0.4239189
915,0.4219351
916,0.4197133
917,0.4174518
918,0.4144762
919,0.4117782
920,0.4093184
921,0.4058269
922,0.4016213
923,0.3969396
924,0.3919009
925,0.386267
926,0.3808711
927,0.3748802
928,0.3689685
929,0.3630172
930,0.3552408
931,0.3457584
932,0.3343716
933,0.3211597
934,0.3043374
935,0.2896178
936,0.275533
937,0.2636701
938,0.254148
939,0.2458955
940,0.2389523
941,0.231533
942,0.2244708
943,0.2182815
944,0.2124492
945,0.2071327
946,0.2025303
947,0.1978487
948,0.1931273
949,0.1893185
950,0.1853113
951,0.1815024
952,0.178011
953,0.1751544
954,0.1719803
955,0.168965
956,0.1664258
957,0.1640452
958,0.1617838
959,0.1599587
960,0.1584113
961,0.1564276
962,0.1545232
963,0.1527775
964,0.150992
965,0.149405
966,0.1476593
967,0.1459136
968,0.1444456
969,0.1428586
970,0.14147
971,0.1400417
972,0.1386133
973,0.1371453
974,0.1359154
975,0.1345268
976,0.1333762
977,0.1320669
978,0.1307973
979,0.129607
980,0.1284168
981,0.1272265
982,0.1260759
983,0.1249253
984,0.1238938
985,0.1227829
986,0.1216719
987,0.1206801
988,0.1195692
989,0.1185376
990,0.117506
991,0.1164745
992,0.115681
993,0.1147684
994,0.1138559
995,0.1129434
996,0.1121499
997,0.111158
998,0.1102454
999,0.1094476
1000,0.1086162
1001,0.1077451
1002,0.1068344
1003,0.106102
1004,0.1052943
1005,0.1046132
1006,0.1038055
1007,0.1030928
1008,0.1023366
1009,0.1016477
1010,0.1008597
1011,0.1000679
1012,0.09935122
1013,0.09860686
1014,0.09795355
1015,0.09723691
1016,0.09654006
1017,0.09591448
1018,0.09522159
1019,0.09460788
1020,0.09393083
1021,0.09325377
1022,0.09264403
1023,0.09198281
1024,0.09130972
1025,0.09073561
1026,0.09009814
1027,0.08947653
1028,0.08892222
1029,0.088261
1030,0.08767897
1031,0.08708902
1032,0.08649907
1033,0.08582994
1034,0.08525187
1035,0.08470152
1036,0.08415908
1037,0.08361268
1038,0.083094
1039,0.08251594
1040,0.08202497
1041,0.08153797
1042,0.08096782
1043,0.08045706
1044,0.07987899
1045,0.0793326
1046,0.07884955
1047,0.07833483
1048,0.07783199
1049,0.0773925
1050,0.07690946
1051,0.07643037
1052,0.07592753
1053,0.07546428
1054,0.07496936
1055,0.07447444
1056,0.07403099
1057,0.07352023
1058,0.07303719
1059,0.0725779
1060,0.07209486
1061,0.07163557
1062,0.0711644
1063,0.07072887
1064,0.07024979
1065,0.06980633
1066,0.06929953
1067,0.06885608
1068,0.06838492
1069,0.06792167
1070,0.06751781
1071,0.06708624
1072,0.06667842
1073,0.06625476
1074,0.06584695
1075,0.06541934
1076,0.06497589
1077,0.06454827
1078,0.06412858
1079,0.06371285
1080,0.06322189
1081,0.06281803
1082,0.0623627
1083,0.06191925
1084,0.06153123
1085,0.06110758
1086,0.06073539
1087,0.06033549
1088,0.05998311
1089,0.05957925
1090,0.05921895
1091,0.05880322
1092,0.05843104
1093,0.05801134
1094,0.0576352
1095,0.05723134
1096,0.05687104
1097,0.05648698
1098,0.05612272
1099,0.05572282
1100,0.05536648
1101,0.05498638
1102,0.05464587
1103,0.05426577
1104,0.05394902
1105,0.05358476
1106,0.05321654
1107,0.05290375
1108,0.05251968
1109,0.05216334
1110,0.0517872
1111,0.05138334
1112,0.05105075
1113,0.05067065
1114,0.05033411
1115,0.04995401
1116,0.04958974
1117,0.04926111
1118,0.04888102
1119,0.04855634
1120,0.04822772
1121,0.04791493
1122,0.0475665
1123,0.04726559
1124,0.0469132
1125,0.04656478
1126,0.04624803
1127,0.04590752
1128,0.04558285
1129,0.04522651
1130,0.0448662
1131,0.04454549
1132,0.04418915
1133,0.04386844
1134,0.04349626
1135,0.04317159
1136,0.04280732
1137,0.04245098
1138,0.04209068
1139,0.04178976
1140,0.04138194
1141,0.04103748
1142,0.0407524
1143,0.04043169
1144,0.04007931
1145,0.03978236
1146,0.03943393
1147,0.03912906
1148,0.0387846
1149,0.03847576
1150,0.03817881
1151,0.03784227
1152,0.03752552
1153,0.03718105
1154,0.03685242
1155,0.03655547
1156,0.03621496
1157,0.03590613
1158,0.03561709
1159,0.03532014
1160,0.03501131
1161,0.03472227
1162,0.03442928
1163,0.034164
1164,0.03390664
1165,0.03364136
1166,0.033384
1167,0.03309101
1168,0.03282573
1169,0.03252086
1170,0.03225558
1171,0.0319903
1172,0.03170523
1173,0.03145578
1174,0.03117863
1175,0.03090543
1176,0.03065995
1177,0.03041051
1178,0.03018878
1179,0.0299433
1180,0.02972949
1181,0.02948005
1182,0.02923853
1183,0.02901681
1184,0.02875549
1185,0.0285298
1186,0.02828432
1187,0.02807052
1188,0.02784087
1189,0.02762707
1190,0.02735783
1191,0.0271361
1192,0.0268827
1193,0.02666889
1194,0.02643529
1195,0.02618981
1196,0.02596413
1197,0.02575824
1198,0.02555631
1199,0.02532271
1200,0.02513265
1201,0.02491489
1202,0.02472484
1203,0.02451499
1204,0.02537022
1205,0.03586653
1206,0.05309775
1207,0.116135
1208,0.2564492
1209,0.3848387
1210,0.395432
1211,0.4007882
1212,0.4053111
1213,0.4090803
1214,0.4126511
1215,0.4158251
1216,0.4186421
1217,0.4210226
1218,0.4234428
1219,0.4256646
1220,0.42745
1221,0.4293147
1222,0.4311002
1223,0.4325681
1224,0.4340361
1225,0.4354644
1226,0.4366547
1227,0.4379243
1228,0.4389955
1229,0.4400668
1230,0.4410587
1231,0.4419712
1232,0.4428441
1233,0.4435979
1234,0.444312
1235,0.4449865
1236,0.4455023
1237,0.4460577
1238,0.4466529
1239,0.4470496
1240,0.4468512
1241,0.447248
1242,0.4475654
1243,0.4478828
1244,0.4482002
1245,0.4484779
1246,0.4487557
1247,0.4489144
1248,0.4491921
1249,0.4493111
1250,0.450184
1251,0.4503427
1252,0.4505014
1253,0.4505807
1254,0.4506998
1255,0.4508188
1256,0.4508981
1257,0.4509378
1258,0.4509775
1259,0.4510172
1260,0.4510569
1261,0.4510172
1262,0.4510569
1263,0.4510569
1264,0.4510569
1265,0.4510569
1266,0.4510569
1267,0.4510172
1268,0.4510172
1269,0.4510172
1270,0.4509775
1271,0.4509775
1272,0.4509378
1273,0.4508981
1274,0.4508981
1275,0.4508585
1276,0.4507791
1277,0.4507395
1278,0.4506998
1279,0.4506601
1280,0.4499856
1281,0.4499459
1282,0.4499063
1283,0.4498666
1284,0.4498269
1285,0.4497476
1286,0.4496682
1287,0.4496285
1288,0.4495095
1289,0.4494698
1290,0.4493905
1291,0.4493112
1292,0.4492714
1293,0.4491921
1294,0.4491524
1295,0.4490731
1296,0.4489938
1297,0.4489144
1298,0.4488747
1299,0.4487954
1300,0.4493508
1301,0.4492318
1302,0.4491921
1303,0.4491524
1304,0.4491127
1305,0.4490334
1306,0.4489937
1307,0.4489541
1308,0.4489144
1309,0.448835
1310,0.4487953
1311,0.4487953
1312,0.4487557
1313,0.448716
1314,0.4486763
1315,0.4486763
1316,0.4486367
1317,0.448597
1318,0.448597
1319,0.4485573
1320,0.4485573
1321,0.4485176
1322,0.4485176
1323,0.4484779
1324,0.4484779
1325,0.4484383
1326,0.4484383
1327,0.4483986
1328,0.4483589
1329,0.4483193
1330,0.4483193
1331,0.4482796
1332,0.4482399
1333,0.4482399
1334,0.4482002
1335,0.4481605
1336,0.4481605
1337,0.4481209
1338,0.4480812
1339,0.4480415
1340,0.4474861
1341,0.4474861
1342,0.4474464
1343,0.4474067
1344,0.4474067
1345,0.4473274
1346,0.4473274
1347,0.4472877
1348,0.4472083
1349,0.4471687
1350,0.4476448
1351,0.4476051
1352,0.4475654
1353,0.4475654
1354,0.4475257
1355,0.4474861
1356,0.4474861
1357,0.4474464
1358,0.4474067
1359,0.4474067
1360,0.4474067
1361,0.4474067
1362,0.4474067
1363,0.4474067
1364,0.4474067
1365,0.4474067
1366,0.447367
1367,0.4474067
1368,0.4474067
1369,0.4474067
1370,0.447367
1371,0.4474067
1372,0.4474067
1373,0.4474067
1374,0.4474067
1375,0.447367
1376,0.447367
1377,0.447367
1378,0.4473274
1379,0.4472877
1380,0.4465736
1381,0.4465339
1382,0.4465339
1383,0.4464942
1384,0.4464545
1385,0.4464148
1386,0.4464148
1387,0.4463751
1388,0.4463355
1389,0.4463355
1390,0.4465339
1391,0.4465735
1392,0.4465735
1393,0.4465735
1394,0.4465735
1395,0.4465339
1396,0.4465735
1397,0.4465735
1398,0.4465735
1399,0.4465735
1400,0.4470893
1401,0.4470496
1402,0.4470496
1403,0.4470496
1404,0.4470496
1405,0.4470496
1406,0.4470496
1407,0.4470496
1408,0.44701
1409,0.44701
1410,0.4466925
1411,0.4466925
1412,0.4466925
1413,0.4466529
1414,0.4466529
1415,0.4466529
1416,0.4466132
1417,0.4466132
1418,0.4466132
1419,0.4466132
1420,0.4469306
1421,0.4469703
1422,0.4469703
1423,0.4469306
1424,0.4469306
1425,0.4469306
1426,0.4469306
1427,0.4469306
1428,0.4469306
1429,0.4468909
1430,0.4468909
1431,0.4468909
1432,0.4469306
1433,0.4468909
1434,0.4469306
1435,0.4469306
1436,0.4469306
1437,0.4469703
1438,0.4469703
1439,0.4469703
1440,0.4469703
1441,0.4469703
1442,0.4469703
1443,0.4469703
1444,0.4469703
1445,0.44701
1446,0.44701
1447,0.44701
1448,0.44701
1449,0.4469703
1450,0.4462561
1451,0.4462958
1452,0.4462958
1453,0.4462561
1454,0.4462561
1455,0.4462165
1456,0.4461768
1457,0.4461768
1458,0.4461768
1459,0.4461371
1460,0.4468116
1461,0.4468116
1462,0.4468116
1463,0.4468116
1464,0.4467719
1465,0.4467322
1466,0.4467719
1467,0.4467322
1468,0.4467719
1469,0.4467322
1470,0.4467719
1471,0.4467719
1472,0.4467719
1473,0.4467719
1474,0.4468116
1475,0.4468116
1476,0.4468116
1477,0.4468513
1478,0.4468116
1479,0.4468513
1480,0.4468909
1481,0.4468513
1482,0.4469306
1483,0.4469306
1484,0.4469703
1485,0.4469703
1486,0.4469703
1487,0.4469703
1488,0.44701
1489,0.44701
1490,0.44701
1491,0.44701
1492,0.44701
1493,0.44701
1494,0.44701
1495,0.44701
1496,0.4469703
1497,0.4469306
1498,0.4469306
1499,0.4468909
1500,0.4468909
1501,0.4468909
1502,0.4468909
1503,0.4468909
1504,0.4468513
1505,0.4468513
1506,0.4467719
1507,0.4467719
1508,0.4468116
1509,0.4468116
1510,0.4464148
1511,0.4464148
1512,0.4464148
1513,0.4463751
1514,0.4463751
1515,0.4463751
1516,0.4464148
1517,0.4463751
1518,0.4463751
1519,0.4464148
1520,0.4467322
1521,0.4467719
1522,0.4467719
1523,0.4467719
1524,0.4468116
1525,0.4468116
1526,0.4468116
1527,0.4468116
1528,0.4468116
1529,0.4468116
1530,0.4468116
1531,0.4468116
1532,0.4468116
1533,0.4468116
1534,0.4468116
1535,0.4468116
1536,0.4468116
1537,0.4467719
1538,0.4467719
1539,0.4467719
1540,0.4467719
1541,0.4467719
1542,0.4467322
1543,0.4467322
1544,0.4467322
1545,0.4467322
1546,0.4467719
1547,0.4467719
1548,0.4468116
1549,0.4468116
1550,0.4468116
1551,0.4468513
1552,0.4468513
1553,0.4468513
1554,0.4468909
1555,0.4468909
1556,0.4469306
1557,0.4469306
1558,0.4468909
1559,0.4469306
1560,0.4469306
1561,0.4469306
1562,0.4469703
1563,0.4469703
1564,0.4469306
1565,0.4469306
1566,0.4469703
1567,0.4469703
1568,0.44701
1569,0.4469703
1570,0.4466529
1571,0.4466132
1572,0.4466132
1573,0.4466132
1574,0.4465735
1575,0.4465735
1576,0.4465735
1577,0.4465735
1578,0.4465735
1579,0.4465735
1580,0.4469703
1581,0.4469703
1582,0.4469703
1583,0.4469306
1584,0.4469306
1585,0.4469306
1586,0.4469306
1587,0.4468909
1588,0.4468909
1589,0.4468909
1590,0.4468513
1591,0.4468513
1592,0.4468909
1593,0.4468909
1594,0.4468909
1595,0.4468909
1596,0.4469306
1597,0.4468909
1598,0.4468909
1599,0.4468909
1600,0.4462561
1601,0.4462164
1602,0.4461768
1603,0.4461768
1604,0.4461768
1605,0.4461768
1606,0.4462164
1607,0.4462164
1608,0.4462164
1609,0.4462164
1610,0.4462164
1611,0.4461768
1612,0.4462164
1613,0.4462164
1614,0.4461768
1615,0.4461371
1616,0.4461768
1617,0.4461768
1618,0.4461768
1619,0.4461768
1620,0.4468513
1621,0.4468513
1622,0.4468513
1623,0.4468513
1624,0.4468909
1625,0.4468513
1626,0.4468909
1627,0.4468909
1628,0.4468513
1629,0.4468513
1630,0.4468513
1631,0.4468513
1632,0.4468116
1633,0.4468513
1634,0.4468116
1635,0.4468513
1636,0.4468116
1637,0.4468513
1638,0.4468116
1639,0.4468116
1640,0.4460577
1641,0.4460974
1642,0.4460974
1643,0.4461371
1644,0.4461371
1645,0.4461371
1646,0.4460974
1647,0.4460974
1648,0.4461371
1649,0.4460974
1650,0.4460974
1651,0.4460974
1652,0.4460577
1653,0.4460577
1654,0.4460577
1655,0.4460974
1656,0.4460974
1657,0.4460974
1658,0.4460577
1659,0.4461371
1660,0.4468116
1661,0.4468116
1662,0.4468513
1663,0.4468513
1664,0.4468513
1665,0.4468909
1666,0.4468909
1667,0.4468909
1668,0.4468909
1669,0.4468909
1670,0.4469306
1671,0.4469703
1672,0.4469703
1673,0.4469703
1674,0.44701
1675,0.44701
1676,0.4469703
